fish_number,fish_id,treatment,tank_id,sex,body_mass_before,body_mass_after,body_mass,body_length,trial,distance_cm,freezing_s,refuge_duration_s,velocity_cm.s,total_wbc,n.l_ratio
72,72T19H,high,19,male,0.759,0.731,0.731,3.43,Trial 16,,,,0.708591,31,0.136363636
73,73T13C,control,13,female,0.573,0.5009,0.5009,3,Trial 31,827.488,1047.34,0,0.578604,35,0.098901099
74,74T13C,control,13,male,0.711,0.683,0.683,3.4,Trial 24,62.106,773.06,0,0.354061,13,0.492537313
75,75T3C,control,13,male,1.292,1.281,1.281,4.09,Trial 4,55.8402,1196.6,1150.74,3.22564,33,0.149425287
76,76T3C,control,13,female,0.452,0.435,0.435,2.95,Trial 4,382.795,1165.52,863.1,2.22364,22,0.176470588
77,77T13C,control,13,female,0.71,0.681,0.681,3.38,Trial 11,292.265,1187.92,663.24,0.157231,39,0.052631579
78,78T13C,control,13,male,1.15,1.129,1.129,3.95,Trial 17,126.987,793.44,778.86,0.139017,51,0.149425287
79,79T3C,control,13,female,0.772,0.731,0.731,3.5,Trial 11,569.224,1157.18,472.26,1.50467,19,0.149425287
80,80T1L,low,1,male,1.031,1.005,1.005,3.5,Trial 4,2642.68,747.12,199.14,0.840654,32,0.25
81,81T1L,low,1,female,0.54,0.5087,0.5087,3.3,Trial 31,307.036,1173.82,0.74,0.181479,33,0.369863014
82,82T1L,low,1,male,0.805,0.7376,0.7376,3.4,Trial 24,2052.4,875.54,291.76,0.125534,39,0.052631579
83,83T1L,low,1,female,1.016,0.961,0.961,3.88,Trial 17,770.743,673.4,347.54,1.21162,32,0.369863014
84,84T1L,low,1,female,0.423,0.377,0.377,2.8,Trial 11,1618.45,983,636.44,1.67005,44,0.149425287
85,85T1L,low,1,female,0.46,0.4208,0.4208,3,Trial 31,1869.81,907.42,484.98,0.51362,25,0.408450704
86,86T1L,low,1,female,0.652,0.611,0.611,3.32,Trial 17,823.763,890.2,187.46,0.339097,25,0.333333333
87,87T7H,high,7,male,0.637,0.607,0.607,3.07,Trial 17,341.201,930.4,207.74,0.612324,35,0.25
88,88T7H,high,7,female,0.456,0.429,0.429,2.7,Trial 4,2951.66,755.8,190.46,0.663206,26,0.219512195
89,89T7H,high,7,male,0.488,0.434,0.434,3.15,Trial 31,1596.54,877.24,375.72,0.883047,34,0.282051282
90,90T7H,high,7,female,0.878,0.7647,0.7647,3.55,Trial 24,1155.01,1094.62,498.42,2.46573,30,0.162790698
91,91T7H,high,7,male,0.698,0.6571,0.6571,3.45,Trial 24,1.26E-12,1200,1200.02,2.06446,38,0.234567901
92,92T7H,high,7,male,0.614,0.601,0.601,3.22,Trial 11,123.328,1199.86,0,0.466945,36,0.333333333
93,93T7H,high,7,male,0.713,0.6488,0.6488,3.35,Trial 38,561.784,1124.38,0,0.414518,35,0.351351351
94,94T16C,control,16,female,0.786,0.735,0.735,3.42,Trial 32,591.145,697.42,217.64,2.35E-15,,
95,95T16C,control,16,male,0.966,0.962,0.962,3.66,Trial 25,1015.57,1126.66,432.56,2.02101,,
96,96T16C,control,16,female,0.415,0.403,0.403,2.73,Trial 18,2865.25,839.54,543.52,1.6531,,
97,97T16C,control,16,female,0.458,0.438,0.438,2.98,Trial 5,584.272,1151.78,0.54,1.37335,40,0.234567901
98,98T16C,control,16,male,0.857,0.836,0.836,3.65,Trial 5,111.333,1067.48,579.26,1.23092,25,0.234567901
99,99T16C,control,16,male,0.896,0.87,0.87,3.6,Trial 25,396.645,1081.9,729.94,2.28217,28,0.149425287
100,100T16C,control,16,male,0.871,0.859,0.859,3.58,Trial 12,2132.61,856,257.36,0.164684,35,0.298701299
101,101T4L,low,4,male,1.14,1.082,1.082,3.91,Trial 18,2.16E-12,1200,1200.02,0.121971,31,0.333333333
102,102T4L,low,4,female,1.258,1.231,1.231,4,Trial 5,103.438,1199.64,0,1.02837,36,0.149425287
103,103T4L,low,4,male,0.777,0.735,0.735,3.45,Trial 25,20.7632,1014.84,1004.72,1.06419,,
104,104T4L,low,4,male,0.752,0.717,0.717,3.48,Trial 39,1.73E+03,918.46,177.28,0.067456,,
105,105T4L,low,4,male,1.017,0.971,0.971,3.68,Trial 12,788.117,1075.72,380.52,1.93573,28,0.265822785
106,106T4L,low,4,female,0.549,0.512,0.512,3.1,Trial 12,591.178,1140.56,271.64,1.51806,32,0.041666667
